Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
JB,2024-09-22 16:49:15,Rejoin Explore Multi Title Genres,EMAIL,US,en-US,en,,GMAIL.COM,,,--,0
JB,2024-09-19 17:25:04,Rejoin Multi Titles 4,EMAIL,US,en-US,en,,GMAIL.COM,,,--,0
JB,2024-09-15 15:01:28,Rejoin Top10,EMAIL,US,en-US,en,,GMAIL.COM,,,--,0
JB,2024-09-14 19:05:15,Rejoin Nsa,EMAIL,US,en-US,en,Outlast,GMAIL.COM,,,--,0
JB,2024-09-10 16:04:18,Rejoin Multi Title Mosaic,EMAIL,US,en-US,en,,GMAIL.COM,,,--,0
JB,2024-09-07 17:49:32,Rejoin Explorer Top Lifestyle,EMAIL,US,en-US,en,,GMAIL.COM,,,--,0
JB,2024-09-06 22:16:37,Rejoin Series Push,PUSH,US,en-US,en,,GMAIL.COM,,,APPLE_iPhone13-2,0
JB,2024-09-05 15:08:26,Rejoin 3up Title Row,EMAIL,US,en-US,en,,GMAIL.COM,,,--,0
JB,2024-09-02 20:05:36,Rejoin Nsa,EMAIL,US,en-US,en,Preacher,GMAIL.COM,,,--,0
JB,2024-08-18 16:37:08,Rejoin Explore Multi Title Genres,EMAIL,US,en-US,en,,GMAIL.COM,,,--,0
JB,2024-08-14 21:00:21,Rejoin Nsa,EMAIL,US,en-US,en,The Umbrella Academy,GMAIL.COM,,,--,0
JB,2024-08-03 21:22:11,Rejoin Nsa,EMAIL,US,en-US,en,Prison Break,GMAIL.COM,,,--,0
JB,2024-08-01 20:09:14,Rejoin Nsa,EMAIL,US,en-US,en,Cobra Kai,GMAIL.COM,,,--,0
JB,2024-07-17 19:02:09,Rejoin Nsa,EMAIL,US,en-US,en,Overlord,GMAIL.COM,,,--,0
JB,2024-07-16 19:01:17,Rejoin Nsa,EMAIL,US,en-US,en,Vikings: Valhalla,GMAIL.COM,,,--,0
JB,2024-07-12 20:18:17,Rejoin Series Push,PUSH,US,en-US,en,,GMAIL.COM,,,APPLE_iPhone13-2,0
JB,2024-07-12 15:01:09,Rejoin Bottom Lifestyle,EMAIL,US,en-US,en,,GMAIL.COM,,,--,0
JB,2024-07-11 15:06:07,Rejoin Multi Title Mosaic,EMAIL,US,en-US,en,,GMAIL.COM,,,--,0
JB,2024-07-09 19:03:15,Rejoin Nsa,EMAIL,US,en-US,en,Suits,GMAIL.COM,,,--,0
JB,2024-07-05 19:08:48,Rejoin Nsa,EMAIL,US,en-US,en,ONE PIECE,GMAIL.COM,,,--,0
JB,2024-06-26 15:07:00,Rejoin Explore Multi Title Genres,EMAIL,US,en-US,en,,GMAIL.COM,,,--,0
JB,2024-06-25 19:01:03,Rejoin Nsa,EMAIL,US,en-US,en,Black Clover,GMAIL.COM,,,--,0
JB,2024-06-25 11:29:32,Rejoin Dropoff Series Day 3,EMAIL,US,en-US,en,,GMAIL.COM,,,--,0
JB,2024-06-23 22:33:53,Rejoin Dropoff Series Day 1 Multichannel,EMAIL,US,en-US,en,,GMAIL.COM,,,--,0
JB,2024-06-23 22:33:53,Rejoin Dropoff Series Day 1 Multichannel,PUSH,US,en-US,en,,GMAIL.COM,,,APPLE_iPhone13-2,0
JB,2024-06-23 19:02:10,Rejoin Nsa,EMAIL,US,en-US,en,Overlord,GMAIL.COM,,,--,0
JB,2024-06-14 20:02:16,Rejoin Series Push,PUSH,US,en-US,en,,GMAIL.COM,,,APPLE_iPhone13-2,0
JB,2024-06-12 19:04:46,Rejoin Nsa,EMAIL,US,en-US,en,Your Honor,GMAIL.COM,,,--,0
JB,2024-06-09 19:06:21,Rejoin Nsa,EMAIL,US,en-US,en,Black Clover,GMAIL.COM,,,--,0
JB,2024-05-08 02:59:34,Borrower Resolution Interstitial,ALERTS,US,,,,GMAIL.COM,,,--,0
JB,2024-05-07 23:42:22,Multichannel Coming Soon,NOTIFICATIONS,US,,,Blood of Zeus,GMAIL.COM,,,--,0
JB,2024-05-07 23:42:22,Multichannel Coming Soon,PUSH,US,en-US,en,Blood of Zeus,GMAIL.COM,,,APPLE_iPhone13-2,0
JB,2024-05-07 19:18:15,Multichannel Coming Soon,EMAIL,US,en-US,en,Blood of Zeus,GMAIL.COM,,,--,0
JB,2024-05-06 22:03:14,Multichannel Prepromote,EMAIL,US,en-US,en,The Final: Attack on Wembley,GMAIL.COM,,,--,0
JB,2024-05-06 20:28:36,Borrower Resolution Interstitial,ALERTS,US,,,,GMAIL.COM,,,--,0
JB,2024-05-06 20:15:21,Multichannel Prepromote,PUSH,US,en-US,en,The Final: Attack on Wembley,GMAIL.COM,,,APPLE_iPhone13-2,0
JB,2024-05-06 20:15:15,Multichannel Prepromote,NOTIFICATIONS,US,,,The Final: Attack on Wembley,GMAIL.COM,,,--,0
JB,2024-05-06 03:59:35,Borrower Resolution Interstitial,ALERTS,US,,,,GMAIL.COM,,,--,0
JB,2024-05-05 02:14:33,Borrower Resolution Interstitial,ALERTS,US,,,,GMAIL.COM,,,--,0
JB,2024-05-04 23:50:10,Multichannel Prepromote,EMAIL,US,en-US,en,Reba,GMAIL.COM,,,--,0
JB,2024-05-04 21:54:13,Multichannel Prepromote,PUSH,US,en-US,en,Reba,GMAIL.COM,,,APPLE_iPhone13-2,0
JB,2024-05-04 21:54:11,Multichannel Prepromote,NOTIFICATIONS,US,,,Reba,GMAIL.COM,,,--,0
JB,2024-05-03 23:26:18,Borrower Resolution Interstitial,ALERTS,US,,,,GMAIL.COM,,,--,0
JB,2024-05-03 23:18:11,Multichannel Launch,NOTIFICATIONS,US,,,Dr. Stone,GMAIL.COM,,,--,0
JB,2024-05-03 23:18:11,Multichannel Launch,PUSH,US,en-US,en,Dr. Stone,GMAIL.COM,,,APPLE_iPhone13-2,0
JB,2024-05-03 20:20:07,Multichannel Launch,EMAIL,US,en-US,en,Dr. Stone,GMAIL.COM,,,--,0
